"Gene","FN","FS","PN","PS","Trepl","Tsil"
"LOC552726",1,1,0,0,808,284
"LOC552728",4,6,0,0,15203.333,5196.667
"LOC552729",0,0,0,1,670,239
"LOC552731",14,19,2,1,127260,44892
"LOC552732",0,2,1,2,2581.6665,853.3335
"LOC552733",0,1,0,0,680.3333,234.6667
"LOC552734",4,5,3,1,17116.6671,6205.3329
"LOC552735",0,0,0,1,566.6667,231.3333
"LOC552736",1,0,0,0,575.6667,189.3333
"LOC552738",3,5,0,2,12510,4440
"LOC552740",2,0,0,0,1272.6666,443.3334
"LOC552741",0,3,0,0,555,138
"LOC552742",1,10,0,0,25347.6663,8840.3337
"LOC552744",2,1,0,0,4242,1653
"LOC552745",0,1,0,0,1082.6667,444.3333
"LOC552746",1,4,0,0,3251.6665,1353.3335
"LOC552747",0,0,1,0,1190.3333,390.6667
"LOC552748",1,2,0,0,2751.9999,938.0001
"LOC552749",0,18,0,9,39833.9991,15084.0009
"LOC552750",5,4,0,1,13640,4450
"LOC552752",0,13,0,6,44878,18164
"LOC552755",1,3,0,3,5126.3331,1656.6669
"LOC552756",3,3,1,0,5464.6669,1801.3331
"LOC552757",10,4,0,0,22017.3338,5870.6662
"LOC552758",2,3,0,0,3665,1270
"LOC552759",0,4,0,0,7377.3332,2966.6668
"LOC552761",5,0,4,0,7290,3240
"LOC552763",1,1,0,1,3614.0001,1335.9999
"LOC552764",0,6,0,0,7728,2676
"LOC552765",2,4,0,0,17304,6924
"LOC552767",0,3,0,0,1661.0001,543.9999
"LOC552768",2,7,0,0,14339.9997,4398.0003
"LOC552771",2,5,1,4,9608.0004,3639.9996
"LOC552772",1,1,1,0,1502.0001,459.9999
"LOC552773",0,8,0,3,5690.6663,2196.3337
"LOC552774",1,1,0,0,590,244
"LOC552776",0,3,1,0,5028,1896
"LOC552778",1,8,1,0,12906.667,4253.333
"LOC552779",0,1,0,0,214.6667,79.3333
"LOC552780",0,2,0,0,678,228
"LOC552781",1,1,0,0,720,228
"LOC552782",5,20,0,5,81470.001,33369.999
"LOC552784",5,16,0,0,41405.0007,15798.9993
"LOC552786",1,1,0,0,1018,350
"LOC552787",0,11,0,17,44408,15820
"LOC552788",2,10,0,0,11079.9996,3680.0004
"LOC552792",1,17,5,14,64811.6679,24432.3321
"LOC552793",0,3,0,1,2961.3332,1166.6668
"LOC552794",0,8,0,1,28755,12285
"LOC552795",0,6,0,1,6325.6669,2389.3331
"LOC552797",0,10,0,3,8489,2977
"LOC552798",5,5,0,0,20640,6990
"LOC552799",0,2,0,5,4209.3331,1733.6669
"LOC552800",0,11,1,0,25695.9996,9404.0004
"LOC552801",1,3,0,0,2508,900
"LOC552802",1,6,0,0,1981,623
"LOC552803",1,3,0,0,1301.3332,414.6668
"LOC552804",2,8,0,0,11233.333,4516.667
"LOC552805",0,1,0,0,754.3333,262.6667
"LOC552806",4,1,0,0,7400,2470
"LOC552807",0,1,0,0,299.3333,90.6667
"LOC552809",1,1,0,0,373.3334,142.6666
"LOC552810",8,9,0,0,25573.6661,9361.3339
"LOC552811",13,14,1,11,56810.0013,18771.9987
"LOC552812",0,5,0,1,13147.9998,5590.0002
"LOC552814",13,25,0,0,158789.3346,55188.6654
"LOC552815",0,2,0,0,1442,538
"LOC552816",1,3,0,0,2906.6668,993.3332
"LOC552818",0,3,0,0,5661,2124
"LOC552820",0,1,0,0,1181,445
"LOC552823",1,5,0,0,6715.9998,2230.0002
"LOC552824",0,6,0,0,5863.9998,2074.0002
"LOC552828",1,3,0,0,2361.3332,746.6668
"LOC552829",2,1,0,1,3577.3332,1342.6668
"LOC552830",0,3,0,1,2632,884
"LOC552831",1,2,1,1,2968.3335,1036.6665
"LOC552832",1,5,0,2,5274.6664,1757.3336
"LOC552835",1,1,0,1,905.0001,300.9999
"LOC552836",2,10,5,7,24976.0008,9511.9992
"LOC552838",0,4,0,0,1986.6668,713.3332
"LOC552839",7,14,1,1,49672.3341,16498.6659
"LOC552841",0,1,0,0,920,304
"LOC552842",1,2,0,1,1621.3332,658.6668
"LOC552843",13,7,0,0,36486.666,13013.334
"LOC552844",0,2,0,0,668,184
"LOC552845",0,9,0,0,14672.9997,5280.0003
"LOC552846",1,2,0,0,2040.9999,650.0001
"LOC552848",5,7,0,0,25580.0004,9051.9996
"LOC552850",0,2,0,0,3940,1520
"LOC552851",6,5,0,0,12169.6663,3571.3337
"LOC678674",0,0,5,1,1176,498
"LOC724113",0,1,1,0,566.6666,201.3334
"LOC724114",0,0,2,1,876,447
"LOC724115",0,3,0,0,3978,1440
"LOC724117",1,5,1,2,4641.0003,1676.9997
"LOC724118",0,4,0,0,2053.3332,898.6668
"LOC724119",2,9,0,0,19015.3337,5734.6663
"LOC724120",1,12,2,3,20070,9090
"LOC724123",5,6,0,1,13515.9996,4916.0004
"LOC724125",6,0,0,0,3144,960
"LOC724126",3,4,0,4,6262.6663,1987.3337
"LOC724129",2,8,1,0,14732.6663,4902.3337
"LOC724133",7,3,0,0,7866.667,2483.333
"LOC724138",0,3,1,1,2998.3335,1231.6665
"LOC724145",5,7,0,1,8385,3237
"LOC724146",0,7,0,0,4587.3331,1901.6669
"LOC724148",3,7,0,4,11802,5166
"LOC724150",4,38,1,6,93247,39053
"LOC724151",5,3,0,0,6712,1832
"LOC724152",1,8,0,0,6689.9997,2625.0003
"LOC724154",3,13,1,0,20564.3339,7179.6661
"LOC724155",0,1,2,0,1194.9999,416.0001
"LOC724156",4,4,1,4,9243,3354
"LOC724157",2,2,0,0,4522.6668,1513.3332
"LOC724158",0,3,0,0,1445.0001,426.9999
"LOC724159",0,20,1,3,60688.0008,22975.9992
"LOC724160",2,12,0,1,16429.9995,6025.0005
"LOC724161",1,4,5,9,24320,8398
"LOC724162",5,4,0,0,6756.0003,1964.9997
"LOC724164",1,2,0,0,1191.9999,410.0001
"LOC724167",0,1,0,0,926.6667,270.3333
"LOC724168",5,9,2,2,13793.9994,5862.0006
"LOC724169",0,4,0,1,2878.3335,1186.6665
"LOC724170",0,2,0,0,1516,500
"LOC724172",27,14,23,16,538426.664,217573.336
"LOC724175",13,8,0,0,23988.9993,7889.0007
"LOC724177",0,1,0,0,485,193
"LOC724178",0,1,0,0,269.6667,132.3333
"LOC724179",0,6,0,1,14520.3331,4925.6669
"LOC724183",0,1,0,0,270.6667,98.3333
"LOC724186",0,1,0,0,435.3333,167.6667
"LOC724187",3,6,0,4,11661,4524
"LOC724188",0,0,0,1,195.3333,89.6667
"LOC724189",0,0,0,1,184,80
"LOC724192",15,25,31,22,414749.0031,140460.9969
"LOC724193",3,6,0,0,17712,6075
"LOC724195",2,6,1,3,16812,7272
"LOC724196",0,7,0,5,7124.0004,3063.9996
"LOC724197",4,1,0,2,2310,924
"LOC724199",1,0,1,1,1353.9999,464.0001
"LOC724201",0,1,0,1,3620.6666,1173.3334
"LOC724202",6,15,5,29,98046.6685,36263.3315
"LOC724203",4,8,0,0,9200.0004,2967.9996
"LOC724205",0,4,0,0,6606.6668,2297.3332
"LOC724206",3,4,0,0,12439,3962
"LOC724207",3,3,0,2,4258.6664,1645.3336
"LOC724208",4,5,2,2,11470.3329,3895.6671
"LOC724211",5,7,0,0,11163.9996,3992.0004
"LOC724212",0,2,0,0,2440.6666,841.3334
"LOC724214",1,2,0,0,4542,1776
"LOC724215",1,14,0,1,54074.6672,17925.3328
"LOC724216",7,5,0,0,7680,2364
"LOC724218",0,4,0,0,3165.3332,1070.6668
"LOC724220",0,3,0,9,12483.9996,4796.0004
"LOC724223",1,3,0,0,8930.6668,3549.3332
"LOC724225",0,11,0,2,11093.3329,4272.6671
"LOC724226",5,7,0,1,7232.3329,2205.6671
"LOC724227",3,15,0,5,26549.6659,10641.3341
"LOC724228",0,2,0,2,1792,644
"LOC724229",0,0,2,6,4781.3336,1530.6664
"LOC724233",0,1,0,1,574.6666,217.3334
"LOC724234",1,0,0,0,911.3333,363.6667
"LOC724235",0,3,0,1,1936,812
"LOC724236",2,2,1,4,6018.0003,2108.9997
"LOC724237",0,2,0,2,3306.6668,1505.3332
"LOC724238",0,12,1,6,21957.6673,9164.3327
"LOC724239",8,8,0,3,17967.6673,6941.3327
"LOC724240",4,5,0,1,16356.667,5063.333
"LOC724242",0,10,0,3,17979,7449
"LOC724243",6,15,0,1,27096.6674,10457.3326
"LOC724244",6,9,0,1,38325.3328,12122.6672
"LOC724246",0,10,0,8,12684.0006,5675.9994
"LOC724247",12,5,0,1,16799.9994,5772.0006
"LOC724249",2,3,1,0,12766.0002,4189.9998
"LOC724250",3,1,2,2,7162.6664,2437.3336
"LOC724251",3,5,0,4,10203.9996,4124.0004
"LOC724252",0,19,1,5,31041.6675,11408.3325
"LOC724256",1,4,0,0,3186.6665,968.3335
"LOC724257",4,1,0,0,3061.6665,853.3335
"LOC724258",1,3,0,0,2381.3332,786.6668
"LOC724259",1,2,0,0,1640.0001,690.9999
"LOC724260",12,10,0,1,19419.6659,7076.3341
"LOC724262",1,2,0,2,3155,1135
"LOC724263",4,0,0,0,1436,508
"LOC724264",1,3,0,0,857.3332,330.6668
"LOC724267",1,2,0,1,2398.6668,673.3332
"LOC724269",6,14,0,1,24282.9993,9359.0007
"LOC724270",1,4,0,0,2413.3335,1156.6665
"LOC724274",0,4,0,0,1720,620
"LOC724275",0,2,0,0,888,372
"LOC724280",2,0,0,0,713.3334,186.6666
"LOC724281",0,5,2,3,11680,4760
"LOC724282",0,1,0,1,1458.6666,659.3334
"LOC724283",6,13,2,7,59042.6676,21177.3324
"LOC724284",3,1,5,8,8443.3339,2572.6661
"LOC724285",4,9,2,3,36036,12942
"LOC724286",1,4,0,6,3974.6663,1569.3337
"LOC724287",2,9,0,0,3351.3337,1202.6663
"LOC724288",3,7,0,0,29876.667,9783.333
"LOC724290",13,12,1,4,78339.999,23540.001
"LOC724291",0,3,0,8,10875.3337,3908.6663
"LOC724292",0,7,0,6,30615,11505
"LOC724293",1,5,0,0,5706,2070
"LOC724294",12,17,0,0,77236.6657,24553.3343
"LOC724295",1,13,0,1,9955.0005,4039.9995
"LOC724296",2,5,0,0,14217,4515
"LOC724297",7,10,0,1,14850,5130
"LOC724299",0,19,1,6,90341.3342,35160.6658
"LOC724300",5,6,1,0,12464.0004,4815.9996
"LOC724301",1,4,0,1,2911.9998,1264.0002
"LOC724304",6,10,0,1,23443,8636
"LOC724306",0,1,0,0,631.6667,208.3333
"LOC724307",0,10,0,2,9267.9996,4304.0004
"LOC724308",1,2,1,1,2745,1050
"LOC724309",3,3,0,9,14809.9995,4945.0005
"LOC724310",8,15,2,6,53929.6677,21679.3323
"LOC724311",4,12,0,4,76626.666,30533.334
"LOC724312",10,10,3,8,33976,11594
"LOC724313",1,8,0,3,13440,4596
"LOC724315",0,10,0,1,8330.6663,3615.3337
"LOC724319",0,5,1,3,2871,1152
"LOC724320",0,1,0,0,247.3333,76.6667
"LOC724321",2,6,0,1,8777.9997,3372.0003
"LOC724322",0,2,0,0,1610.6666,681.3334
"LOC724323",0,1,0,0,1100.3333,324.6667
"LOC724326",0,5,0,0,1861.6665,613.3335
"LOC724327",1,7,1,0,4565.9997,1563.0003
"LOC724328",1,7,0,0,6952,2504
"LOC724329",0,2,0,0,646,194
"LOC724330",0,3,0,1,3105.3332,1130.6668
"LOC724331",0,4,0,1,6513.3335,2351.6665
"LOC724332",2,5,0,0,7882,2660
"LOC724333",0,11,0,4,18040.0005,8059.9995
"LOC724334",2,13,5,16,67992.0012,30287.9988
"LOC724335",4,8,6,2,14993.334,5406.666
"LOC724336",4,9,2,0,9825,3270
"LOC724338",0,2,0,0,2492.6666,987.3334
"LOC724339",5,5,0,0,11973.333,3776.667
"LOC724341",1,4,0,1,3271.9998,1120.0002
"LOC724344",0,15,1,8,61984.0008,26431.9992
"LOC724346",0,2,0,0,682.6666,265.3334
"LOC724348",7,8,0,3,14153.9994,5178.0006
"LOC724349",1,2,0,0,3962.0001,1293.9999
"LOC724350",0,1,0,0,771.6667,236.3333
"LOC724352",1,5,0,0,1981.9998,610.0002
"LOC724353",3,1,0,2,4704,1362
"LOC724355",1,6,0,0,4666.6669,1465.3331
"LOC724356",2,25,1,2,114939.999,36080.001
"LOC724357",2,2,0,0,4010.6668,1701.3332
"LOC724358",9,19,6,15,152749.3317,60694.6683
"LOC724361",1,0,0,0,1959.6667,707.3333
"LOC724363",2,2,0,0,1929.3332,650.6668
"LOC724365",1,0,0,1,465.3334,158.6666
"LOC724367",4,3,0,2,4214.9997,1482.0003
"LOC724368",0,6,0,1,6234.6669,2165.3331
"LOC724370",4,2,0,0,6427.9998,2176.0002
"LOC724372",4,1,0,1,3139.9998,982.0002
"LOC724373",0,7,0,2,7848,2817
"LOC724374",1,1,0,1,1382.0001,489.9999
"LOC724375",1,3,0,1,7616.6665,3033.3335
"LOC724378",1,3,0,0,1873.3332,766.6668
"LOC724379",0,15,0,2,21340.6661,7576.3339
"LOC724380",1,3,0,1,5180,1690
"LOC724382",0,5,0,0,2700,795
"LOC724383",0,4,0,0,6326.6668,2301.3332
"LOC724385",9,8,19,21,196023,82707
"LOC724386",2,1,0,2,1650,585
"LOC724389",0,7,0,3,14546.667,6003.333
"LOC724390",2,8,1,5,17152,5840
"LOC724391",12,10,10,10,105364.0014,37519.9986
"LOC724393",1,2,0,0,1671.9999,623.0001
"LOC724395",19,4,49,12,344652,114492
"LOC724397",2,8,0,0,11053.333,4426.667
"LOC724398",0,8,0,3,4524.6663,1778.3337
"LOC724399",0,1,0,0,994.6667,316.3333
"LOC724402",11,18,0,0,157247.6657,57816.3343
"LOC724405",0,2,0,0,870,294
"LOC724407",0,2,0,0,278.6666,111.3334
"LOC724408",0,1,0,0,672.3333,248.6667
"LOC724410",2,2,0,2,4357.9998,1618.0002
"LOC724411",0,10,0,2,16808.0004,6735.9996
"LOC724412",0,9,4,4,15198,6936
"LOC724415",4,7,2,3,42576,14400
"LOC724417",20,17,4,2,146443.6681,57118.3319
"LOC724418",11,4,1,1,15628.6661,5332.3339
"LOC724421",9,13,59,93,1039650,315462
"LOC724422",4,7,1,7,21482.6673,7758.3327
"LOC724423",10,10,0,0,90346.666,32413.334
"LOC724424",7,1,0,0,11765.3336,3690.6664
"LOC724425",0,2,0,0,2162,706
"LOC724429",1,6,1,1,10158.0003,4016.9997
"LOC724430",5,3,0,2,12256.667,4633.333
"LOC724431",10,7,0,3,39006.666,12893.334
"LOC724432",3,1,0,1,2650,830
"LOC724433",0,13,1,17,51098.3323,20139.6677
"LOC724435",1,0,0,0,484,158
"LOC724436",2,1,2,2,2818.6669,856.3331
"LOC724437",6,6,0,0,16436.0004,6279.9996
"LOC724439",4,15,1,2,34459.3326,12136.6674
"LOC724440",0,11,0,0,21721.3337,8011.6663
"LOC724442",5,21,0,2,68422.6676,29353.3324
"LOC724443",7,5,1,0,11838.6671,4229.3329
"LOC724446",0,1,0,0,189.6667,71.3333
"LOC724449",0,1,0,0,528.6667,185.3333
"LOC724450",0,4,0,1,4290,1770
"LOC724453",0,4,0,0,5060,1936
"LOC724455",1,2,0,0,3653.0001,1305.9999
"LOC724457",5,8,0,0,10313.3329,3141.6671
"LOC724458",0,8,1,7,11829.3328,5354.6672
"LOC724459",0,5,0,2,1722,651
"LOC724460",1,28,0,10,87438,36699
"LOC724462",6,14,5,15,29266.668,10213.332
"LOC724463",2,7,0,0,6756.0003,2234.9997
"LOC724464",0,7,0,1,5690.6664,2181.3336
"LOC724465",1,8,1,5,7009.9995,3250.0005
"LOC724466",1,9,8,22,43360,16400
"LOC724467",0,5,0,2,2454.6669,863.3331
"LOC724468",11,5,7,2,40083.3325,19016.6675
"LOC724471",1,11,0,11,56296.3341,18016.6659
"LOC724472",14,13,1,0,66696,22176
"LOC724473",3,19,1,17,38853.332,14066.668
"LOC724474",1,0,0,0,1451.6667,423.3333
"LOC724475",4,2,2,0,15994.6664,5581.3336
"LOC724477",6,5,1,1,8671,3419
"LOC724479",2,0,1,0,758.0001,258.9999
"LOC724480",6,1,0,0,8117.6669,2760.3331
"LOC724481",0,5,1,0,8790,3000
"LOC724483",1,5,0,0,5724,1854
"LOC724486",0,1,0,0,381.3333,125.6667
"LOC724488",2,5,0,0,3112.6669,1024.3331
"LOC724489",1,0,0,0,163.3333,43.6667
"LOC724493",10,6,0,0,12938.6672,3957.3328
"LOC724494",0,1,0,0,313.3333,100.6667
"LOC724495",0,8,2,7,15373.6661,6199.3339
"LOC724496",3,4,0,0,6839,2317
"LOC724497",1,12,1,5,33528.6673,11387.3327
"LOC724498",1,9,0,4,12721.3338,4498.6662
"LOC724499",3,0,0,0,816.9999,299.0001
"LOC724501",0,1,0,0,1728.6667,728.3333
"LOC724502",0,2,0,0,2802.6666,1115.3334
"LOC724505",0,4,0,0,11426.6668,4365.3332
"LOC724506",6,2,0,0,11528,3760
"LOC724507",3,7,0,1,9177.6663,2834.3337
"LOC724508",3,6,0,0,10748.9997,4074.0003
"LOC724509",0,1,0,0,1032,354
"LOC724510",0,9,0,0,26723.9997,10536.0003
"LOC724511",1,16,1,4,27712.6674,9379.3326
"LOC724513",3,8,0,0,22693,6248
"LOC724515",33,29,0,13,333125.0025,116424.9975
"LOC724516",3,2,1,9,7009.9995,2395.0005
"LOC724517",1,11,1,1,41822.6662,15717.3338
"LOC724518",5,28,7,27,214802,97552
"LOC724519",0,2,0,0,1772.6666,597.3334
"LOC724520",5,24,1,14,131472,53064
"LOC724521",2,3,0,2,2272.6669,772.3331
"LOC724524",1,9,0,5,22729.9995,7780.0005
"LOC724525",0,7,0,2,5058,1773
"LOC724527",4,2,0,0,2965.9998,1138.0002
"LOC724529",1,1,0,0,484,134
"LOC724535",13,33,9,9,326186.6688,134037.3312
"LOC724536",6,14,0,0,18666.666,5993.334
"LOC724537",1,2,0,0,5765.0001,2199.9999
"LOC724538",2,7,0,0,10089,3384
"LOC724539",1,0,0,0,904.6667,313.3333
"LOC724540",1,2,0,0,2295,792
"LOC724541",2,15,0,3,30333.334,12806.666
"LOC724543",0,2,0,3,1175,385
"LOC724545",3,6,1,2,31424.0004,11163.9996
"LOC724546",3,2,5,4,16506,6594
"LOC724548",6,40,2,32,278506.664,109813.336
"LOC724550",1,1,0,0,2400,804
"LOC724551",3,0,1,1,5843.3335,1791.6665
"LOC724552",2,4,0,0,3786,1200
"LOC724553",1,6,0,0,7732.6669,2683.3331
"LOC724554",0,2,0,5,3395,1246
"LOC724555",0,0,1,1,866,334
"LOC724557",1,0,0,1,1815.3334,602.6666
"LOC724558",2,6,2,3,5143.6671,1681.3329
"LOC724559",3,5,0,0,6882.6664,2357.3336
"LOC724560",8,8,0,0,18565.3328,6010.6672
"LOC724561",3,19,1,6,45907,16820
"LOC724563",5,24,1,8,110846,40774
"LOC724564",2,4,0,1,3924.6669,1367.3331
"LOC724565",4,0,0,1,2761.6665,958.3335
"LOC724567",1,2,0,0,2249.0001,783.9999
"LOC724568",0,4,0,2,8635.9998,3370.0002
"LOC724569",23,45,23,29,555759.996,225080.004
"LOC724571",2,16,0,13,76931.6677,29739.3323
"LOC724575",0,3,0,10,5750.3329,1893.6671
"LOC724578",1,4,1,0,2845.9998,1222.0002
"LOC724580",1,6,0,0,1969.3331,739.6669
"LOC724583",1,3,0,0,758.6668,237.3332
"LOC724585",0,3,0,0,2040,723
"LOC724587",4,2,1,1,8538.6664,2789.3336
"LOC724590",7,22,7,45,144639.0027,48545.9973
"LOC724591",3,5,0,0,19565.3336,7266.6664
"LOC724592",6,34,9,40,336805.6637,124303.3363
"LOC724593",5,14,0,0,83131.3327,26251.6673
"LOC724594",0,4,0,0,1757.3332,738.6668
"LOC724595",0,16,0,4,19626.666,8093.334
"LOC724596",1,2,1,0,7054.6668,2485.3332
"LOC724598",5,1,0,0,8340,2766
"LOC724599",0,11,0,0,32321.6663,11931.3337
"LOC724600",0,1,0,0,350,118
"LOC724602",0,5,0,0,3916.6665,1483.3335
"LOC724603",3,12,1,6,69461.3326,26700.6674
"LOC724604",7,56,4,16,471495.3361,160217.6639
"LOC724607",1,7,0,4,19772.0004,6399.9996
"LOC724608",8,15,1,15,93171,32838
"LOC724610",1,10,2,0,13624,4862
"LOC724611",4,24,0,7,49560,16905
"LOC724612",7,9,6,9,68758,24521
"LOC724613",20,4,4,5,88825.0011,43933.9989
"LOC724616",12,9,2,12,64015,22295
"LOC724617",1,4,0,0,5740,2240
"LOC724618",3,15,7,4,34104,11658
"LOC724619",2,8,0,1,11062.3337,3457.6663
"LOC724620",4,0,0,0,6925.3332,2458.6668
"LOC724622",3,3,0,0,16242,4800
"LOC724624",0,3,0,0,909.9999,332.0001
"LOC724625",0,1,0,0,149,55
"LOC724628",0,1,0,0,332.3333,108.6667
"LOC724630",0,3,0,0,879.9999,308.0001
"LOC724631",0,3,0,1,648,216
"LOC724634",36,37,22,20,907886.6705,327213.3295
"LOC724635",2,6,0,0,7570.6664,2389.3336
"LOC724636",2,7,1,1,9078.6663,3527.3337
"LOC724640",2,2,0,1,4026.6665,1583.3335
"LOC724642",1,3,0,0,2332,980
"LOC724643",1,0,0,0,647.3333,252.6667
"LOC724645",1,4,0,4,8525.9997,3138.0003
"LOC724646",4,9,0,0,20618,6760
"LOC724647",15,8,0,0,52838.6659,17679.3341
"LOC724648",0,3,0,0,1590.9999,533.0001
"LOC724651",2,18,1,9,37670.001,17589.999
"LOC724652",26,33,6,16,281258.9973,111915.0027
"LOC724653",1,1,0,0,830.6666,321.3334
"LOC724654",3,2,5,4,3887.3338,1320.6662
"LOC724655",0,2,0,1,1181.0001,510.9999
"LOC724656",2,15,0,0,34442,13039
"LOC724658",3,3,0,0,5563.9998,1780.0002
"LOC724659",0,1,0,0,341.3333,108.6667
"LOC724660",4,18,2,1,171916.6675,67033.3325
"LOC724663",13,8,3,4,79128,27384
"LOC724664",1,11,9,13,38828,17272
"LOC724665",0,3,0,0,2180.0001,627.9999
"LOC724666",0,1,0,0,522,174
"LOC724669",1,3,1,0,1461.6665,458.3335
"LOC724673",4,1,1,0,5077.9998,1816.0002
"LOC724677",0,0,0,4,1106.6668,429.3332
"LOC724678",0,1,0,0,262.6667,112.3333
"LOC724679",2,6,0,3,6728.3337,2907.6663
"LOC724680",0,3,0,0,876.9999,284.0001
"LOC724681",0,2,0,0,651.3334,206.6666
"LOC724683",1,0,0,1,1085.3334,414.6666
"LOC724685",0,7,1,1,10593,4095
"LOC724686",1,1,0,0,865.3334,334.6666
"LOC724687",4,2,0,1,14854,5054
"LOC724688",0,2,0,0,731.3334,204.6666
"LOC724690",2,2,1,0,5393.3335,1896.6665
"LOC724692",1,1,0,0,1689.3334,590.6666
"LOC724695",8,11,0,0,46379,15637
"LOC724698",1,12,2,3,16014.0006,5693.9994
"LOC724700",0,1,0,0,827.6667,288.3333
"LOC724701",0,11,1,1,26247,8775
"LOC724703",8,4,1,0,19469.6671,6426.3329
"LOC724704",0,19,0,7,42986.6658,17697.3342
"LOC724705",2,1,0,0,1044.9999,314.0001
"LOC724706",6,18,4,12,124773.332,46106.668
"LOC724708",4,2,0,4,3416.667,933.333
"LOC724711",0,3,0,2,941.6665,288.3335
"LOC724712",9,5,1,0,14370,4890
"LOC724715",0,1,0,0,266.3333,105.6667
"LOC724717",0,4,0,4,2072,568
"LOC724718",2,19,1,1,57461.6659,19749.3341
"LOC724719",3,2,0,0,1620,570
"LOC724720",0,1,0,0,476.6667,180.3333
"LOC724721",0,3,0,0,1701.9999,575.0001
"LOC724724",1,9,0,0,16753.333,5956.667
"LOC724727",0,6,0,0,5670,2286
"LOC724728",7,8,2,0,18598,6341
"LOC724731",2,12,0,1,28204.9995,10135.0005
"LOC724732",5,9,1,0,26535,8070
"LOC724733",5,3,1,1,14656.667,4723.333
"LOC724734",2,13,1,1,10545.6661,4040.3339
"LOC724735",0,5,1,4,2880,1020
"LOC724736",0,6,1,8,22930.0005,8839.9995
"LOC724737",5,10,7,10,73056,30144
"LOC724738",0,2,0,0,2475.3334,758.6666
"LOC724739",0,1,1,0,3440,1114
"LOC724740",1,11,2,2,14224,6320
"LOC724741",3,7,0,0,14326.667,5143.333
"LOC724742",1,1,0,0,1568.6666,525.3334
"LOC724743",1,1,0,0,1348,554
"LOC724744",4,3,0,1,2322.6664,893.3336
"LOC724745",0,0,0,1,408.3333,185.6667
"LOC724747",7,43,0,25,344049.9975,123725.0025
"LOC724749",12,2,0,0,38117.3338,13374.6662
"LOC724750",0,2,0,3,1288.3335,511.6665
"LOC724752",8,17,0,4,44824.3343,16684.6657
"LOC724756",1,4,0,0,1358.3335,561.6665
"LOC724760",6,9,0,5,24380,7960
"LOC724761",3,12,0,0,9919.9995,3760.0005
"LOC724762",0,3,0,0,1602,558
"LOC724763",2,5,0,1,6690.6664,2693.3336
"LOC724765",0,12,0,2,12422.6662,5343.3338
"LOC724767",2,4,1,0,7884.3331,2657.6669
"LOC724768",0,1,0,1,414.6666,161.3334
"LOC724769",0,3,0,0,788.0001,291.9999
"LOC724770",1,4,0,0,7286.6665,2373.3335
"LOC724772",8,9,3,6,28296.6658,10625.3342
"LOC724773",1,7,0,2,6200,2410
"LOC724775",2,6,0,0,12629.3336,4218.6664
"LOC724776",6,9,3,4,13735.3326,4876.6674
"LOC724778",0,2,0,6,6930.6664,2741.3336
"LOC724779",4,17,0,3,33936,14448
"LOC724780",8,8,0,4,22480,7760
"LOC724781",6,8,0,5,17581.3327,5560.6673
"LOC724783",0,3,2,1,3085.9998,1090.0002
"LOC724784",0,2,0,0,1182.6666,347.3334
"LOC724785",0,3,0,0,2301,777
"LOC724786",1,4,0,2,2263.3331,592.6669
"LOC724787",4,8,0,1,25861.3329,9550.6671
"LOC724789",0,4,0,0,3642.6668,1229.3332
"LOC724790",3,0,0,0,1148.0001,363.9999
"LOC724791",1,5,1,1,2762.6664,1005.3336
"LOC724792",12,10,0,1,39184.3341,12496.6659
"LOC724795",2,14,1,4,23429.0007,9393.9993
"LOC724796",0,13,0,1,13057.3338,5296.6662
"LOC724798",2,3,0,0,4870,1715
"LOC724799",0,2,0,1,8766.9999,3086.0001
"LOC724801",0,7,0,2,5361.0003,2279.9997
"LOC724802",0,2,0,0,476.6666,183.3334
"LOC724803",13,10,13,11,78255,25521
"LOC724804",0,6,0,1,10465,3521
"LOC724806",24,85,0,33,1377163.3286,473380.6714
"LOC724808",1,1,0,0,3217.3334,1054.6666
"LOC724809",4,6,3,1,16916.6662,6015.3338
"LOC724810",3,7,0,4,22754.6662,9711.3338
"LOC724811",2,1,0,0,1872,657
"LOC724816",7,11,0,0,65831.9994,21216.0006
"LOC724817",0,1,0,2,1628.0001,594.9999
"LOC724819",2,14,0,1,25409.3339,9321.6661
"LOC724822",2,5,0,0,4781,1939
"LOC724823",0,3,0,0,1149,471
"LOC724826",0,13,2,0,25519.9995,10300.0005
"LOC724827",0,2,0,0,549.3334,182.6666
"LOC724829",0,2,0,1,540.9999,206.0001
"LOC724830",3,19,0,1,46651.6659,22279.3341
"LOC724831",1,6,0,0,6045.6669,2774.3331
"LOC724832",0,6,0,0,4800,1662
"LOC724835",0,3,0,4,8425.6669,3271.3331
"LOC724838",9,18,1,2,53859.999,18500.001
"LOC724842",3,7,0,0,6450,1890
"LOC724843",6,5,0,0,14692.3337,4513.6663
"LOC724847",3,5,1,0,6021,2349
"LOC724850",2,3,0,0,4636.6665,1678.3335
"LOC724852",0,1,0,0,429,189
"LOC724853",1,7,0,2,12880,4760
"LOC724855",0,2,0,0,1208.6666,417.3334
"LOC724856",6,5,0,0,9925.6663,3307.3337
"LOC724859",3,31,0,1,164943.3345,64376.6655
"LOC724860",3,11,0,0,15974,5740
"LOC724861",0,1,1,3,4766.6665,1863.3335
"LOC724862",3,4,3,4,10691.3338,3588.6662
"LOC724863",2,1,0,0,3558,1086
